Category,Metro,Arbisoft
Total Comments (All Times),0,1
Comments per Month
3/1/2023,0,0
4/1/2023,0,0
5/1/2023,0,0
6/1/2023,0,0
7/1/2023,0,0
8/1/2023,0,0
9/1/2023,0,0
10/1/2023,0,0
11/1/2023,0,0
12/1/2023,0,0
1/1/2024,0,0
2/1/2024,0,0
3/1/2024,0,0
4/1/2024,0,1
5/1/2024,0,0
6/1/2024,0,0
7/1/2024,0,0
8/1/2024,0,0
Tasks Interactions per Month
3/1/2023,0,0
4/1/2023,0,0
5/1/2023,0,0
6/1/2023,0,0
7/1/2023,0,0
8/1/2023,0,0
9/1/2023,0,0
10/1/2023,0,0
11/1/2023,0,0
12/1/2023,0,0
1/1/2024,0,0
2/1/2024,0,1
3/1/2024,0,4
4/1/2024,0,20
5/1/2024,0,5
6/1/2024,0,1
7/1/2024,0,5
8/1/2024,0,1
Total Tasks (All time),0,27
Tasks per Month
3/1/2023,0,0
4/1/2023,0,0
5/1/2023,0,0
6/1/2023,0,0
7/1/2023,0,0
8/1/2023,0,0
9/1/2023,0,0
10/1/2023,0,0
11/1/2023,0,0
12/1/2023,0,0
1/1/2024,0,0
2/1/2024,0,1
3/1/2024,0,4
4/1/2024,0,20
5/1/2024,0,5
6/1/2024,0,1
7/1/2024,0,5
8/1/2024,0,1
Most Common Title,None,Usterka maszyny
Most Common Location,None,"Leńcze 185a, Poziom 0, Laser Eagle"
